Time (Million Years),Number of Trapped Electrons
0.0,0.0
0.04000040000400004,637813510.0130028
0.08000080000800008,1197718053.0707605
0.12000120001200013,1689230226.6352105
0.16000160001600017,2120704150.9690342
0.2000020000200002,2499473505.7986355
0.24000240002400025,2831976162.917108
0.28000280002800026,3123863588.770056
0.32000320003200033,3380096945.1940804
0.3600036000360004,3605031382.9871955
0.4000040000400004,3802490064.1493773
0.44000440004400043,3975829154.1443105
0.4800048000480005,4127994862.4549675
0.5200052000520006,4261573513.957146
0.5600056000560005,4378835524.928578
0.6000060000600006,4481773973.055395
0.6400064000640007,4572138482.590079
0.6800068000680006,4651464962.730023
0.7200072000720008,4721101709.567729
0.7600076000760008,4782232322.790762
0.8000080000800008,4835895826.657872
0.8400084000840009,4883004330.601362
0.8800088000880009,4924358528.768307
0.9200092000920009,4960661307.637428
0.960009600096001,4992529691.839184
1.000010000100001,5020505359.133477
1.0400104001040011,5045063797.089434
1.080010800108001,5066622417.400724
1.120011200112001,5085547653.628496
1.1600116001160012,5102161170.321546
1.2000120001200012,5116745345.312272
1.2400124001240012,5129548063.132851
1.2800128001280013,5140786926.836871
1.3200132001320015,5150652963.243895
1.3600136001360013,5159313863.751927
1.4000140001400014,5166916833.82061
1.4400144001440016,5173591100.470931
1.4800148001480014,5179450105.884721
1.5200152001520015,5184593433.067316
1.5600156001560017,5189108502.45464
1.6000160001600017,5193072056.12178
1.6400164001640016,5196551461.175677
1.6800168001680018,5199605857.013985
1.7200172001720018,5202287158.217954
1.7600176001760017,5204640937.985036
1.800018000180002,5206707203.796283
1.8400184001840019,5208521075.08151
1.880018800188002,5210113381.660698
1.920019200192002,5211511187.21951
1.960019600196002,5212738249.8539505
2.000020000200002,5213815428.854826
2.040020400204002,5214761030.807283
2.0800208002080023,5215591129.832218
2.120021200212002,5216319830.609744
2.160021600216002,5216959520.998917
2.2000220002200024,5217521071.292489
2.240022400224002,5218014029.58804
2.2800228002280023,5218446771.478458
2.3200232002320025,5218826654.970977
2.3600236002360027,5219160134.571394
2.4000240002400024,5219452880.015495
2.4400244002440026,5219709867.054948
2.4800248002480023,5219935462.967262
2.5200252002520025,5220133501.908515
2.5600256002560027,5220307350.107801
2.600026000260003,5220459963.005319
2.640026400264003,5220593934.012458
2.6800268002680023,5220711540.809824
2.7200272002720025,5220814781.49252
2.7600276002760027,5220905411.502097
2.800028000280003,5220984970.799723
2.840028400284003,5221054812.275969
2.8800288002880032,5221116122.32332
2.920029200292003,5221169943.537097
2.9600296002960027,5221217190.667772
3.000030000300003,5221258668.033316
3.040030400304003,5221295077.746573
3.0800308003080032,5221327037.66279
3.1200312003120034,5221355092.725869
3.160031600316003,5221379722.054266
3.2000320003200033,5221401341.433563
3.240032400324003,5221420322.046495
3.2800328003280033,5221436985.535298
3.3200332003320034,5221451612.956689
3.3600336003360036,5221464454.770012
3.4000340003400034,5221475726.605246
3.4400344003440035,5221485624.050858
3.4800348003480037,5221494308.862302
3.5200352003520035,5221501933.875483
3.5600356003560036,5221508628.33587
3.600036000360004,5221514504.141444
3.6400364003640036,5221519662.668042
3.6800368003680037,5221524193.0989485
3.720037200372004,5221528172.309522
3.760037600376004,5221531664.657543
3.800038000380004,5221534727.674854
3.840038400384004,5221537417.451897
3.8800388003880038,5221539777.385098
3.920039200392004,5221541847.366323
3.960039600396004,5221543665.508945
4.000040000400004,5221545272.461892
4.0400404004040045,5221546664.256637
4.080040800408004,5221547893.281622
4.120041200412004,5221548973.172602
4.160041600416005,5221549920.014837
4.200042000420004,5221550750.008046
4.240042400424004,5221551478.489494
4.280042800428005,5221552119.114767
4.320043200432004,5221552680.035385
4.360043600436004,5221553172.452971
4.400044000440005,5221553607.817384
4.4400444004440045,5221553991.290112
4.480044800448004,5221554327.185381
4.520045200452005,5221554622.3354025
4.560045600456005,5221554900.356293
4.600046000460005,5221555115.27248
4.640046400464005,5221555310.049954
4.680046800468005,5221555484.705478
4.720047200472005,5221555640.897329
4.760047600476004,5221555779.724216
4.800048000480005,5221555901.186139
4.8400484004840045,5221556005.283098
4.880048800488005,5221556093.904174
4.920049200492005,5221556172.592664
4.960049600496005,5221556241.707774
5.000050000500005,5221556301.249504
5.040050400504005,5221556351.416983
5.080050800508006,5221556395.710812
5.120051200512005,5221556435.412133
5.160051600516005,5221556470.520948
5.200052000520006,5221556501.037256
5.2400524005240054,5221556527.739528
5.280052800528006,5221556551.892529
5.320053200532005,5221556573.513892
5.360053600536005,5221556592.60362
5.400054000540005,5221556609.261984
5.440054400544005,5221556624.211705
5.480054800548006,5221556637.595957
5.520055200552005,5221556649.414739
5.560055600556006,5221556659.668608
5.600056000560006,5221556668.698316
5.6400564005640055,5221556676.7932825
5.680056800568006,5221556683.953509
5.720057200572006,5221556690.178995
5.7600576005760065,5221556695.5501795
5.800058000580006,5221556700.365861
5.840058400584006,5221556704.654161
5.880058800588007,5221556708.41508
5.920059200592005,5221556711.653956
5.960059600596006,5221556714.5254345
6.000060000600006,5221556717.100801
6.040060400604006,5221556719.380056
6.080060800608006,5221556721.363199
6.120061200612006,5221556723.090637
6.1600616006160065,5221556724.645351
6.200062000620006,5221556726.029829
6.240062400624007,5221556727.244068
6.280062800628007,5221556728.293438
6.320063200632006,5221556729.230616
6.360063600636007,5221556730.068993
6.400064000640007,5221556730.808568
6.440064400644007,5221556731.449344
6.480064800648006,5221556732.0111885
6.520065200652006,5221556732.516102
6.5600656006560065,5221556732.964096
6.600066000660006,5221556733.355173
6.640066400664007,5221556733.844027
6.680066800668007,5221556734.414622
6.720067200672007,5221556734.950561
6.760067600676007,5221556735.45184
6.800068000680007,5221556735.918464
6.840068400684007,5221556736.350429
6.880068800688007,5221556736.747737
6.920069200692008,5221556737.110387
6.960069600696007,5221556737.43838
7.000070000700006,5221556737.731715
7.040070400704007,5221556737.990394
7.080070800708007,5221556738.214414
7.120071200712007,5221556738.403776
7.160071600716007,5221556738.558482
7.200072000720008,5221556738.67853
7.240072400724007,5221556738.76392
7.280072800728007,5221556738.814652
7.320073200732008,5221556738.830728
7.3600736007360075,5221556738.812146
7.400074000740008,5221556738.758906
7.440074400744008,5221556738.671009
7.480074800748008,5221556738.548454
7.520075200752008,5221556738.391242
7.560075600756007,5221556738.199372
7.600076000760008,5221556738.075448
7.640076400764007,5221556738.1468315
7.680076800768008,5221556738.209253
7.720077200772008,5221556738.262713
7.7600776007760075,5221556738.307211
