temp_K,intensity
1.0,0.0
1.2498124531132784,0.0
1.4996249062265568,0.0
1.749437359339835,0.0
1.9992498124531133,0.0
2.2490622655663914,0.0
2.49887471867967,0.0
2.748687171792948,0.0
2.9984996249062266,0.0
3.248312078019505,0.0
3.4981245311327833,0.0
3.7479369842460617,0.0
3.9977494373593396,0.0
4.247561890472618,0.0
4.497374343585896,0.0
4.747186796699175,0.0
4.996999249812453,0.0
5.246811702925731,0.0
5.49662415603901,0.0
5.746436609152288,0.0
5.996249062265567,0.0
6.246061515378845,0.0
6.495873968492123,0.0
6.745686421605401,0.0
6.995498874718679,0.0
7.245311327831958,0.0
7.495123780945236,0.0
7.744936234058515,0.0
7.994748687171793,0.0
8.244561140285072,0.0
8.49437359339835,0.0
8.74418604651163,0.0
8.993998499624906,0.0
9.243810952738185,0.0
9.493623405851462,0.0
9.743435858964741,0.0
9.99324831207802,0.0
10.243060765191299,0.0
10.492873218304576,0.0
10.742685671417854,0.0
10.992498124531133,0.0
11.24231057764441,0.0
11.49212303075769,0.0
11.741935483870968,0.0
11.991747936984247,0.0
12.241560390097524,0.0
12.491372843210803,0.0
12.741185296324081,0.0
12.990997749437359,0.0
13.240810202550637,0.0
13.490622655663916,0.0
13.740435108777195,0.0
13.990247561890472,0.0
14.24006001500375,0.0
14.48987246811703,0.0
14.739684921230308,0.0
14.989497374343586,0.0
15.239309827456864,0.0
15.489122280570143,0.0
15.73893473368342,3.219331748301562e-309
15.988747186796699,3.229189346067387e-304
16.23855963990998,2.2722371860773577e-299
16.48837209302326,1.1400681054500456e-294
16.738184546136534,4.1409641198860406e-290
16.987996999249813,1.1044737412064669e-285
17.23780945236309,2.192418648863962e-281
17.48762190547637,3.280223787087116e-277
17.73743435858965,3.743547634924597e-273
17.987246811702924,3.295815996933253e-269
18.237059264816203,2.262421832549262e-265
18.486871717929482,1.223196522084495e-261
18.73668417104276,5.258698520100323e-258
18.98649662415604,1.81404798450183e-254
19.23630907726932,5.064454906930622e-251
19.486121530382597,1.153623381527214e-247
19.735933983495872,2.1607166988840655e-244
19.98574643660915,3.35213371020898e-241
20.23555888972243,4.3377494451074696e-238
20.48537134283571,4.713128926428067e-235
20.735183795948988,4.3271217647824254e-232
20.984996249062267,3.377119585991016e-229
21.234808702175545,2.2534137286372623e-226
21.48462115528882,1.2925771023716216e-223
21.7344336084021,6.407044210049486e-221
21.98424606151538,2.758077715486867e-218
22.234058514628657,1.0360182714246858e-215
22.483870967741936,3.411248283126929e-213
22.733683420855215,9.888499406628424e-211
22.983495873968494,2.534094129313894e-208
23.23330832708177,5.763906547721941e-206
23.483120780195048,1.1680623779645486e-203
23.732933233308326,2.116671865067991e-201
23.982745686421605,3.4418896076036303e-199
24.232558139534884,5.039078949072188e-197
24.482370592648163,6.663643557524761e-195
24.73218304576144,7.983951394099133e-193
24.981995498874717,8.692708896406124e-191
25.231807951987996,8.624981972591869e-189
25.481620405101275,7.820118406353247e-187
25.731432858214554,6.496220121081109e-185
25.981245311327832,4.956746990008853e-183
26.23105776444111,3.482378455610015e-181
26.48087021755439,2.2579439971716426e-179
26.73068267066767,1.3542074524321055e-177
26.980495123780944,7.528921002047933e-176
27.230307576894223,3.8883194906749224e-174
27.4801200300075,1.8691579794283443e-172
27.72993248312078,8.379665413018683e-171
27.97974493623406,3.5100687775083576e-169
28.229557389347338,1.3762451398752529e-167
28.479369842460617,5.059675548015427e-166
28.729182295573892,1.7471308591427475e-164
28.97899474868717,5.675552559186942e-163
29.22880720180045,1.737203909985175e-161
29.47861965491373,5.0177649513105074e-160
29.728432108027008,1.3696876794201441e-158
29.978244561140286,3.5383288743361683e-157
30.228057014253565,8.662308771429191e-156
30.47786946736684,2.0123424561106146e-154
30.72768192048012,4.4417915179432816e-153
30.977494373593398,9.32695485171416e-152
31.227306826706677,1.8653794134810485e-150
31.477119279819956,3.5574905054233924e-149
31.726931732933235,6.476753761695742e-148
31.976744186046513,1.1268877199076228e-146
32.22655663915979,1.8757347983069047e-145
32.47636909227307,2.9900163943748335e-144
32.726181545386346,4.5689595520071635e-143
32.975993998499625,6.699152950508038e-142
33.225806451612904,9.433785309966532e-141
33.47561890472618,1.2770508714582577e-139
33.72543135783946,1.6632881288726243e-138
33.97524381095274,2.0860927851187704e-137
34.22505626406602,2.5215382677946224e-136
34.4748687171793,2.9397600058790326e-135
34.72468117029258,3.308347294828576e-134
34.97449362340585,3.596599434349263e-133
35.22430607651913,3.77984805306902e-132
35.474118529632406,3.8429827383936667e-131
35.723930982745685,3.782476084155136e-130
35.973743435858964,3.6065426474665144e-129
36.22355588897224,3.33348451262848e-128
36.47336834208552,2.988655420248694e-127
36.7231807951988,2.6007180827766766e-126
36.97299324831208,2.1979278594827577e-125
37.22280570142536,1.8050613196699565e-124
37.47261815453864,1.441377316072029e-123
37.722430607651916,1.1197287764010758e-122
37.972243060765194,8.467072746913347e-122
38.22205551387847,6.235463387648049e-121
38.471867966991745,4.474483349427293e-120
38.721680420105024,3.13021188050419e-119
38.9714928732183,2.135864111640535e-118
39.22130532633158,1.4221634153292104e-117
39.47111777944486,9.244918880956264e-117
39.72093023255814,5.869904950590233e-116
39.97074268567142,3.641875724179362e-115
40.2205551387847,2.208880530420171e-114
40.470367591897976,1.3102517027450026e-113
40.720180045011254,7.604147127703792e-113
40.96999249812453,4.319496206493411e-112
41.21980495123781,2.4025465875296305e-111
41.46961740435109,1.308976715618976e-110
41.71942985746437,6.988350793312418e-110
41.96924231057764,3.657274809066322e-109
42.21905476369092,1.8768706234091795e-108
