Time (Million Years),Number of Trapped Electrons
0.0,0.0
0.04000040000400004,680031102.1906059
0.08000080000800008,1359599762.068822
0.12000120001200013,2038706294.1149504
0.16000160001600017,2717351012.591273
0.2000020000200002,3395534231.53921
0.24000240002400025,4073256264.7948375
0.28000280002800026,4750517425.979353
0.32000320003200033,5427318028.500133
0.3600036000360004,6103658385.55143
0.4000040000400004,6779538810.1145935
0.44000440004400043,7454959614.962288
0.4800048000480005,8129921112.652578
0.5200052000520006,8804423615.528997
0.5600056000560005,9478467435.722406
0.6000060000600006,10152052885.15115
0.6400064000640007,10825180275.52121
0.6800068000680006,11497849918.326344
0.7200072000720008,12170062124.848251
0.7600076000760008,12841817206.1567
0.8000080000800008,13513115473.109703
0.8400084000840009,14183957236.35365
0.8800088000880009,14854342806.323458
0.9200092000920009,15524272493.242731
0.960009600096001,16193746607.123903
1.000010000100001,16862765457.768385
1.0400104001040011,17531329354.76672
1.080010800108001,18199438607.498734
1.120011200112001,18867093525.134247
1.1600116001160012,19534294416.642616
1.2000120001200012,20201041590.77865
1.2400124001240012,20867335356.084007
1.2800128001280013,21533176020.89068
1.3200132001320015,22198563893.3211
1.3600136001360013,22863499281.288322
1.4000140001400014,23527982492.49619
1.4400144001440016,24192013834.439476
1.4800148001480014,24855593614.404053
1.5200152001520015,25518722139.46706
1.5600156001560017,26181399716.49704
1.6000160001600017,26843626652.15411
1.6400164001640016,27505403252.890137
1.6800168001680018,28166729824.94886
1.7200172001720018,28827606674.366085
1.7600176001760017,29488034106.969833
1.800018000180002,30148012428.38048
1.8400184001840019,30807541944.0098
1.880018800188002,31466622959.048073
1.920019200192002,32125255778.485645
1.960019600196002,32783440707.109406
2.000020000200002,33441178049.49905
2.040020400204002,34098468110.02717
2.0800208002080023,34755311192.85945
2.120021200212002,35411707601.95479
2.160021600216002,36067657641.06545
2.2000220002200024,36723161613.73721
2.240022400224002,37378219823.3095
2.2800228002280023,38032832572.915565
2.3200232002320025,38687000165.48257
2.3600236002360027,39340722903.7318
2.4000240002400024,39994001090.17877
2.4400244002440026,40646835027.1334
2.4800248002480023,41299225016.7001
2.5200252002520025,41951171360.778015
2.5600256002560027,42602674361.06052
2.600026000260003,43253734319.03087
2.640026400264003,43904351535.97042
2.6800268002680023,44554526312.9568
2.7200272002720025,45204258950.86295
2.7600276002760027,45853549750.35719
2.800028000280003,46502399011.903404
2.840028400284003,47150807035.76117
2.8800288002880032,47798774121.985886
2.920029200292003,48446300570.42895
2.9600296002960027,49093386680.73787
3.000030000300003,49740032752.35641
3.040030400304003,50386239084.52473
3.0800308003080032,51032005976.279526
3.1200312003120034,51677333726.4542
3.160031600316003,52322222633.67895
3.2000320003200033,52966672996.38097
3.240032400324003,53610685112.78452
3.2800328003280033,54254259280.91089
3.3200332003320034,54897395798.576866
3.3600336003360036,55540094963.398
3.4000340003400034,56182357072.787796
3.4400344003440035,56824182423.95755
3.4800348003480037,57465571313.916435
3.5200352003520035,58106524039.471664
3.5600356003560036,58747040897.22864
3.600036000360004,59387122183.59108
3.6400364003640036,60026768194.76117
3.6800368003680037,60665979226.73968
3.720037200372004,61304755575.32613
3.760037600376004,61943097536.11893
3.800038000380004,62581005404.51546
3.840038400384004,63218479475.7123
3.8800388003880038,63855520044.705315
3.920039200392004,64492127406.28981
3.960039600396004,65128301855.06066
4.000040000400004,65764043685.40843
4.0400404004040045,66399353191.53395
4.080040800408004,67034230667.425735
4.120041200412004,67668676406.87784
4.160041600416005,68302690703.48451
4.200042000420004,68936273850.64035
4.240042400424004,69569426141.54045
4.280042800428005,70202147869.18053
4.320043200432004,70834439326.35707
4.360043600436004,71466300805.66748
4.400044000440005,72097732599.51021
4.4400444004440045,72728735000.08487
4.480044800448004,73359308299.3924
4.520045200452005,73989452789.23524
4.560045600456005,74619168761.21738
4.600046000460005,75248456506.74458
4.640046400464005,75877316317.02444
4.680046800468005,76505748483.06662
4.720047200472005,77133753295.67563
4.760047600476004,77761331045.43042
4.800048000480005,78388482022.74127
4.8400484004840045,79015206517.82516
4.880048800488005,79641504820.70184
4.920049200492005,80267377221.19376
4.960049600496005,80892824008.92632
5.000050000500005,81517845473.32805
5.040050400504005,82142441903.63062
5.080050800508006,82766613588.8691
5.120051200512005,83390360817.88196
5.160051600516005,84013683879.31137
5.200052000520006,84636583061.60324
5.2400524005240054,85259058653.00731
5.280052800528006,85881110941.57742
5.320053200532005,86502740215.17151
5.360053600536005,87123946761.45184
5.400054000540005,87744730867.88516
5.440054400544005,88365092821.74268
5.480054800548006,88985032910.1004
5.520055200552005,89604551419.8391
5.560055600556006,90223648637.64462
5.600056000560006,90842324850.00781
5.6400564005640055,91460580343.22482
5.680056800568006,92078415403.39723
5.720057200572006,92695830316.43202
5.7600576005760065,93312825368.04193
5.800058000580006,93929400843.74539
5.840058400584006,94545557028.86685
5.880058800588007,95161294208.53677
5.920059200592005,95776612667.69177
5.960059600596006,96391512691.07483
6.000060000600006,97005994563.23538
6.040060400604006,97620058568.52948
6.080060800608006,98233704991.11986
6.120061200612006,98846934114.97614
6.1600616006160065,99459746223.87494
6.200062000620006,100072141601.39998
6.240062400624007,100684120530.94229
6.280062800628007,101295683295.70029
6.320063200632006,101906830178.67987
6.360063600636007,102517561462.69467
6.400064000640007,103127877430.36609
6.440064400644007,103737778364.12344
6.480064800648006,104347264546.2041
6.520065200652006,104956336258.65372
6.5600656006560065,105564993783.32617
6.600066000660006,106173237401.88385
6.640066400664007,106781067395.79778
6.680066800668007,107388484046.34761
6.720067200672007,107995487634.62196
6.760067600676007,108602078441.5184
6.800068000680007,109208256747.74359
6.840068400684007,109814022833.81354
6.880068800688007,110419376980.05356
6.920069200692008,111024319466.59854
6.960069600696007,111628850573.39297
7.000070000700006,112232970580.19121
7.040070400704007,112836679766.5575
7.080070800708007,113439978411.86607
7.120071200712007,114042866795.30147
7.160071600716007,114645345195.8584
