Time (Million Years),Number of Trapped Electrons
0.0,0.0
0.04000040000400004,680031092.2696807
0.08000080000800008,1359599722.4031267
0.12000120001200013,2038706204.9075866
0.16000160001600017,2717350854.0722857
0.2000020000200002,3395533983.965554
0.24000240002400025,4073255908.4503565
0.28000280002800026,4750516941.1747465
0.32000320003200033,5427317395.57293
0.3600036000360004,6103657584.865965
0.4000040000400004,6779537822.061974
0.44000440004400043,7454958419.960375
0.4800048000480005,8129919691.145962
0.5200052000520006,8804421947.988958
0.5600056000560005,9478465502.646894
0.6000060000600006,10152050667.064758
0.6400064000640007,10825177752.975136
0.6800068000680006,11497847071.898373
0.7200072000720008,12170058935.142727
0.7600076000760008,12841813653.80449
0.8000080000800008,13513111538.768177
0.8400084000840009,14183952900.70665
0.8800088000880009,14854338050.081268
0.9200092000920009,15524267297.142052
0.960009600096001,16193740951.927822
1.000010000100001,16862759324.266344
1.0400104001040011,17531322723.774494
1.080010800108001,18199431459.858395
1.120011200112001,18867085841.71414
1.1600116001160012,19534286178.337418
1.2000120001200012,20201032778.50927
1.2400124001240012,20867325950.797585
1.2800128001280013,21533166003.560516
1.3200132001320015,22198553244.946655
1.3600136001360013,22863487982.895184
1.4000140001400014,23527970525.136036
1.4400144001440016,24192001179.19006
1.4800148001480014,24855580252.369164
1.5200152001520015,25518708051.7765
1.5600156001560017,26181384884.306602
1.6000160001600017,26843611056.645546
1.6400164001640016,27505386875.271122
1.6800168001680018,28166712646.452988
1.7200172001720018,28827588676.252808
1.7600176001760017,29488015270.524456
1.800018000180002,30147992734.914135
1.8400184001840019,30807521374.859406
1.880018800188002,31466601495.576378
1.920019200192002,32125233402.081177
1.960019600196002,32783417399.18641
2.000020000200002,33441153791.497467
2.040020400204002,34098442883.412624
2.0800208002080023,34755284979.123215
2.120021200212002,35411680382.61376
2.160021600216002,36067629397.66212
2.2000220002200024,36723132327.83962
2.240022400224002,37378189476.51126
2.2800228002280023,38032801146.83577
2.3200232002320025,38686967641.76584
2.3600236002360027,39340689264.048195
2.4000240002400024,39993966316.2238
2.4400244002440026,40646799100.627975
2.4800248002480023,41299187919.390526
2.5200252002520025,41951133074.43594
2.5600256002560027,42602634867.48295
2.600026000260003,43253693600.04011
2.640026400264003,43904309573.41405
2.6800268002680023,44554483088.70766
2.7200272002720025,45204214446.81911
2.7600276002760027,45853503948.441925
2.800028000280003,46502351894.06516
2.840028400284003,47150758583.97356
2.8800288002880032,47798724318.24764
2.920029200292003,48446249396.7639
2.9600296002960027,49093334119.19492
3.000030000300003,49739978785.009514
3.040030400304003,50386183693.47287
3.0800308003080032,51031949143.646675
3.1200312003120034,51677275434.389305
3.160031600316003,52322162864.3559
3.2000320003200033,52966611731.99857
3.240032400324003,53610622335.5665
3.2800328003280033,54254194973.1058
3.3200332003320034,54897329942.45813
3.3600336003360036,55540027541.26386
3.4000340003400034,56182288066.96128
3.4400344003440035,56824111816.78645
3.4800348003480037,57465499087.773285
3.5200352003520035,58106450176.753716
3.5600356003560036,58746965380.357834
3.600036000360004,59387044995.01402
3.6400364003640036,60026689316.9491
3.6800368003680037,60665898642.18846
3.720037200372004,61304673266.55622
3.760037600376004,61943013485.675316
3.800038000380004,62580919594.967705
3.840038400384004,63218391889.654465
3.8800388003880038,63855430664.75594
3.920039200392004,64492036215.09191
3.960039600396004,65128208835.281685
4.000040000400004,65763948819.74022
4.0400404004040045,66399256462.692764
4.080040800408004,67034132058.152176
4.120041200412004,67668575899.93685
4.160041600416005,68302588281.665344
4.200042000420004,68936169496.75655
4.240042400424004,69569319838.4298
4.280042800428005,70202039599.70506
4.320043200432004,70834329073.40305
4.360043600436004,71466188552.14532
4.400044000440005,72097618328.35449
4.4400444004440045,72728618694.25433
4.480044800448004,73359189941.8699
4.520045200452005,73989332363.02768
4.560045600456005,74619046249.35574
4.600046000460005,75248331892.2839
4.640046400464005,75877189583.04375
4.680046800468005,76505619612.66893
4.720047200472005,77133622271.9879
4.760047600476004,77761197851.60355
4.800048000480005,78388346641.95003
4.8400484004840045,79015068933.26825
4.880048800488005,79641365015.60175
4.920049200492005,80267235178.79686
4.960049600496005,80892679712.5028
5.000050000500005,81517698906.1719
5.040050400504005,82142293049.05956
5.080050800508006,82766462430.22458
5.120051200512005,83390207338.52919
5.160051600516005,84013528062.63922
5.200052000520006,84636424891.02423
5.2400524005240054,85258898111.95761
5.280052800528006,85880948013.51685
5.320053200532005,86502574883.58344
5.360053600536005,87123779009.84323
5.400054000540005,87744560679.78648
5.440054400544005,88364920180.70795
5.480054800548006,88984857799.70714
5.520055200552005,89604373823.6883
5.560055600556006,90223468539.36066
5.600056000560006,90842142233.23856
5.6400564005640055,91460395191.6415
5.680056800568006,92078227700.69443
5.720057200572006,92695640046.32773
5.7600576005760065,93312632514.2774
5.800058000580006,93929205390.08524
5.840058400584006,94545358959.0989
5.880058800588007,95161093506.47214
5.920059200592005,95776409317.1648
5.960059600596006,96391306675.94305
6.000060000600006,97005785867.37952
6.040060400604006,97619847175.8534
6.080060800608006,98233490885.55054
6.120061200612006,98846717280.46368
6.1600616006160065,99459526644.39256
6.200062000620006,100071919260.94394
6.240062400624007,100683895413.53189
6.280062800628007,101295455385.37778
6.320063200632006,101906599459.51056
6.360063600636007,102517327918.76682
6.400064000640007,103127641045.79085
6.440064400644007,103737539123.03493
6.480064800648006,104347022432.75934
6.520065200652006,104956091257.03252
6.5600656006560065,105564745877.7313
6.600066000660006,106172986576.5408
6.640066400664007,106780813634.95486
6.680066800668007,107388227334.27596
6.720067200672007,107995227955.61542
6.760067600676007,108601815779.89352
6.800068000680007,109207991087.83968
6.840068400684007,109813754159.99254
6.880068800688007,110419105276.70007
6.920069200692008,111024044718.11981
6.960069600696007,111628572764.21887
7.000070000700006,112232689694.77417
7.040070400704007,112836395789.3725
7.080070800708007,113439691327.41068
7.120071200712007,114042576588.09569
7.160071600716007,114645051850.44481
7.200072000720008,115247117393.28574
7.240072400724007,115848773495.25673
7.280072800728007,116450020434.80673
7.320073200732008,117050858490.19548
7.3600736007360075,117651287939.49368
7.400074000740008,118251309060.58315
7.440074400744008,118850922131.15681
7.480074800748008,119450127428.71906
7.520075200752008,120048925230.58568
7.560075600756007,120647315813.88405
7.600076000760008,121245299455.55336
7.640076400764007,121842876432.34456
7.680076800768008,122440047020.82068
7.720077200772008,123036811497.35681
7.7600776007760075,123633170138.14035
7.800078000780008,124229123219.17104
7.840078400784008,124824671016.26114
7.8800788007880085,125419813805.0356
7.920079200792008,126014551860.93207
7.960079600796008,126608885459.20114
8.000080000800008,127202814874.90645
8.040080400804008,127796340382.92477
8.080080800808009,128389462257.9462
8.120081200812008,128982180774.47421
8.160081600816008,129574496206.82585
8.200082000820009,130166408829.13187
8.240082400824008,130757918915.33675
8.280082800828009,131349026739.19902
8.32008320083201,131939732574.29117
8.36008360083601,132530036693.99997
8.400084000840009,133119939371.52643
8.440084400844007,133709440879.88606
8.480084800848008,134298541491.909
8.520085200852009,134887241480.23996
8.56008560085601,135475541117.33864
8.600086000860008,136063440675.43832
8.640086400864009,136650940426.43085
8.68008680086801,137238040642.18549
8.720087200872008,137824741594.41095
8.760087600876009,138411043554.63116
8.80008800088001,138996946794.18546
8.84008840088401,139582451584.22855
8.880088800888009,140167558195.73083
8.92008920089201,140752266899.47845
8.960089600896008,141336577966.07327
