Time (Million Years),Number of Trapped Electrons
0.0,0.0
0.04000040000400004,680031024.3135016
0.08000080000800008,1359599450.701656
0.12000120001200013,2038705593.8564827
0.16000160001600017,2717349768.2517643
0.2000020000200002,3395532288.1401973
0.24000240002400025,4073253467.568929
0.28000280002800026,4750513620.370008
0.32000320003200033,5427313060.1614485
0.3600036000360004,6103652100.347925
0.4000040000400004,6779531054.120995
0.44000440004400043,7454950234.463324
0.4800048000480005,8129909954.142765
0.5200052000520006,8804410525.712416
0.5600056000560005,9478452261.512486
0.6000060000600006,10152035473.670464
0.6400064000640007,10825160474.101242
0.6800068000680006,11497827574.507298
0.7200072000720008,12170037086.378813
0.7600076000760008,12841789320.993843
0.8000080000800008,13513084589.418463
0.8400084000840009,14183923202.506916
0.8800088000880009,14854305470.901756
0.9200092000920009,15524231705.034012
0.960009600096001,16193702215.12333
1.000010000100001,16862717311.178112
1.0400104001040011,17531277302.995693
1.080010800108001,18199382500.162468
1.120011200112001,18867033212.054615
1.1600116001160012,19534229747.84771
1.2000120001200012,20200972416.502533
1.2400124001240012,20867261526.76648
1.2800128001280013,21533097387.17708
1.3200132001320015,22198480306.062073
1.3600136001360013,22863410591.539635
1.4000140001400014,23527888551.518494
1.4400144001440016,24191914493.69812
1.4800148001480014,24855488725.56886
1.5200152001520015,25518611554.41212
1.5600156001560017,26181283287.3005
1.6000160001600017,26843504231.09797
1.6400164001640016,27505274692.46003
1.6800168001680018,28166594977.833862
1.7200172001720018,28827465393.458477
1.7600176001760017,29487886245.364914
1.800018000180002,30147857839.376354
1.8400184001840019,30807380481.107162
1.880018800188002,31466454475.950047
1.920019200192002,32125080129.097538
1.960019600196002,32783257745.538506
2.000020000200002,33440987630.05441
2.040020400204002,34098270087.219414
2.0800208002080023,34755105421.400566
2.120021200212002,35411493936.75791
2.160021600216002,36067435937.24466
2.2000220002200024,36722931726.607315
2.240022400224002,37377981608.38586
2.2800228002280023,38032585885.91384
2.3200232002320025,38686744862.318565
2.3600236002360027,39340458840.52124
2.4000240002400024,39993728123.237076
2.4400244002440026,40646553012.975494
2.4800248002480023,41298933812.04022
2.5200252002520025,41950870822.529495
2.5600256002560027,42602364346.33557
2.600026000260003,43253414685.14041
2.640026400264003,43904022140.42382
2.6800268002680023,44554187013.46173
2.7200272002720025,45203909605.32514
2.7600276002760027,45853190216.88026
2.800028000280003,46502029148.78862
2.840028400284003,47150426701.50727
2.8800288002880032,47798383175.28889
2.920029200292003,48445898870.1819
2.9600296002960027,49092974086.03069
3.000030000300003,49739609122.47568
3.040030400304003,50385804278.95346
3.0800308003080032,51031559854.697
3.1200312003120034,51676876148.73573
3.160031600316003,52321753459.8957
3.2000320003200033,52966192086.79974
3.240032400324003,53610192327.86758
3.2800328003280033,54253754481.315704
3.3200332003320034,54896878845.15599
3.3600336003360036,55539565717.19879
3.4000340003400034,56181815395.05226
3.4400344003440035,56823628176.12214
3.4800348003480037,57465004357.61182
3.5200352003520035,58105944236.52257
3.5600356003560036,58746448109.65362
3.600036000360004,59386516273.60233
3.6400364003640036,60026149024.76432
3.6800368003680037,60665346659.33361
3.720037200372004,61304109473.30275
3.760037600376004,61942437762.462975
3.800038000380004,62580331822.40434
3.840038400384004,63217791948.515854
3.8800388003880038,63854818435.98562
3.920039200392004,64491411579.801
3.960039600396004,65127571674.74871
4.000040000400004,65763299015.41095
4.0400404004040045,66398593896.180046
4.080040800408004,67033456611.23573
4.120041200412004,67667887454.563126
4.160041600416005,68301886719.94734
4.200042000420004,68935454700.97363
4.240042400424004,69568591691.02757
4.280042800428005,70201297983.29514
4.320043200432004,70833573870.76288
4.360043600436004,71465419646.2181
4.400044000440005,72096835602.2489
4.4400444004440045,72727822031.24442
4.480044800448004,73358379225.39485
4.520045200452005,73988507476.69176
4.560045600456005,74618207076.928
4.600046000460005,75247478317.69804
4.640046400464005,75876321490.39803
4.680046800468005,76504736886.22588
4.720047200472005,77132724796.17422
4.760047600476004,77760285511.00992
4.800048000480005,78387419321.33092
4.8400484004840045,79014126517.54176
4.880048800488005,79640407389.84952
4.920049200492005,80266262228.26376
4.960049600496005,80891691322.59691
5.000050000500005,81516694962.46419
5.040050400504005,82141273437.28384
5.080050800508006,82765427036.27734
5.120051200512005,83389156048.46931
5.160051600516005,84012460762.68793
5.200052000520006,84635341467.56483
5.2400524005240054,85257798451.53546
5.280052800528006,85879832002.83899
5.320053200532005,86501442409.51859
5.360053600536005,87122629959.42157
5.400054000540005,87743394940.19948
5.440054400544005,88363737639.3082
5.480054800548006,88983658344.00816
5.520055200552005,89603157341.36443
5.560055600556006,90222234918.24687
5.600056000560006,90840891361.33026
5.6400564005640055,91459126957.0944
5.680056800568006,92076941991.82437
5.720057200572006,92694336751.61047
5.7600576005760065,93311311522.34856
5.800058000580006,93927866589.73999
5.840058400584006,94544002239.29193
5.880058800588007,95159718756.31741
5.920059200592005,95775016425.9354
5.960059600596006,96389895533.07106
6.000060000600006,97004356362.45578
6.040060400604006,97618399198.62744
6.080060800608006,98232024325.93033
6.120061200612006,98845232028.5155
6.1600616006160065,99458022590.34082
6.200062000620006,100070396295.17104
6.240062400624007,100682353426.57803
6.280062800628007,101293894267.94086
6.320063200632006,101905019102.44592
6.360063600636007,102515728213.08714
6.400064000640007,103126021882.66599
6.440064400644007,103735900393.79173
6.480064800648006,104345364028.88145
6.520065200652006,104954413070.16031
6.5600656006560065,105563047799.66159
6.600066000660006,106171268499.22684
6.640066400664007,106779075450.50601
